"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","68","54127 > tungsten-https [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=0 SACK_PERM=1"
"2","0.000053000","127.0.0.1","127.0.0.1","TCP","68","tungsten-https > 54127 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=611763347 SACK_PERM=1"
"3","0.000066000","127.0.0.1","127.0.0.1","TCP","56","54127 > tungsten-https [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"4","0.000078000","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] tungsten-https > 54127 [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"5","0.000490000","127.0.0.1","127.0.0.1","TLSv1","573","Client Hello"
"6","0.000564000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54127 [ACK] Seq=1 Ack=518 Win=146464 Len=0 TSval=611763347 TSecr=611763347"
"7","0.000768000","127.0.0.1","127.0.0.1","TCP","68","54128 > tungsten-https [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=0 SACK_PERM=1"
"8","0.000842000","127.0.0.1","127.0.0.1","TCP","68","tungsten-https > 54128 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=611763347 SACK_PERM=1"
"9","0.000854000","127.0.0.1","127.0.0.1","TCP","56","54128 > tungsten-https [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"10","0.000862000","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] tungsten-https > 54128 [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"11","0.001116000","127.0.0.1","127.0.0.1","TLSv1","201","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"12","0.001136000","127.0.0.1","127.0.0.1","TCP","56","54127 > tungsten-https [ACK] Seq=518 Ack=146 Win=146832 Len=0 TSval=611763348 TSecr=611763348"
"13","0.001304000","127.0.0.1","127.0.0.1","TLSv1","573","Client Hello"
"14","0.001322000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54128 [ACK] Seq=1 Ack=518 Win=146464 Len=0 TSval=611763348 TSecr=611763348"
"15","0.002017000","127.0.0.1","127.0.0.1","TLSv1","115","Change Cipher Spec, Encrypted Handshake Message"
"16","0.002038000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54127 [ACK] Seq=146 Ack=577 Win=146400 Len=0 TSval=611763349 TSecr=611763349"
"17","0.002063000","127.0.0.1","127.0.0.1","TCP","56","54127 > tungsten-https [FIN, ACK] Seq=577 Ack=146 Win=146832 Len=0 TSval=611763349 TSecr=611763349"
"18","0.002080000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54127 [ACK] Seq=146 Ack=578 Win=146400 Len=0 TSval=611763349 TSecr=611763349"
"19","0.002089000","127.0.0.1","127.0.0.1","TCP","56","[TCP Dup ACK 17#1] 54127 > tungsten-https [ACK] Seq=578 Ack=146 Win=146832 Len=0 TSval=611763349 TSecr=611763349"
"20","0.002958000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54127 [FIN, ACK] Seq=146 Ack=578 Win=146400 Len=0 TSval=611763349 TSecr=611763349"
"21","0.002983000","127.0.0.1","127.0.0.1","TCP","56","54127 > tungsten-https [ACK] Seq=578 Ack=147 Win=146832 Len=0 TSval=611763349 TSecr=611763349"
"22","0.004268000","127.0.0.1","127.0.0.1","TLSv1","201","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"23","0.004316000","127.0.0.1","127.0.0.1","TCP","56","54128 > tungsten-https [ACK] Seq=518 Ack=146 Win=146832 Len=0 TSval=611763351 TSecr=611763351"
"24","0.004830000","127.0.0.1","127.0.0.1","TLSv1","115","Change Cipher Spec, Encrypted Handshake Message"
"25","0.004849000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54128 [ACK] Seq=146 Ack=577 Win=146400 Len=0 TSval=611763351 TSecr=611763351"
"26","0.005109000","127.0.0.1","127.0.0.1","TCP","56","54128 > tungsten-https [FIN, ACK] Seq=577 Ack=146 Win=146832 Len=0 TSval=611763351 TSecr=611763351"
"27","0.005126000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54128 [ACK] Seq=146 Ack=578 Win=146400 Len=0 TSval=611763352 TSecr=611763351"
"28","0.005135000","127.0.0.1","127.0.0.1","TCP","56","[TCP Dup ACK 26#1] 54128 > tungsten-https [ACK] Seq=578 Ack=146 Win=146832 Len=0 TSval=611763352 TSecr=611763352"
"29","0.005612000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54128 [FIN, ACK] Seq=146 Ack=578 Win=146400 Len=0 TSval=611763352 TSecr=611763352"
"30","0.005632000","127.0.0.1","127.0.0.1","TCP","56","54128 > tungsten-https [ACK] Seq=578 Ack=147 Win=146832 Len=0 TSval=611763352 TSecr=611763352"
"31","0.012378000","127.0.0.1","127.0.0.1","TCP","68","54129 > tungsten-https [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763359 TSecr=0 SACK_PERM=1"
"32","0.012419000","127.0.0.1","127.0.0.1","TCP","68","tungsten-https > 54129 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763359 TSecr=611763359 SACK_PERM=1"
"33","0.012429000","127.0.0.1","127.0.0.1","TCP","56","54129 > tungsten-https [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763359 TSecr=611763359"
"34","0.012436000","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] tungsten-https > 54129 [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763359 TSecr=611763359"
"35","0.012548000","127.0.0.1","127.0.0.1","TLSv1","573","Client Hello"
"36","0.012572000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54129 [ACK] Seq=1 Ack=518 Win=146464 Len=0 TSval=611763359 TSecr=611763359"
"37","0.012869000","127.0.0.1","127.0.0.1","TLSv1","201","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"38","0.012889000","127.0.0.1","127.0.0.1","TCP","56","54129 > tungsten-https [ACK] Seq=518 Ack=146 Win=146832 Len=0 TSval=611763359 TSecr=611763359"
"39","0.013306000","127.0.0.1","127.0.0.1","TLSv1","115","Change Cipher Spec, Encrypted Handshake Message"
"40","0.013319000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54129 [ACK] Seq=146 Ack=577 Win=146400 Len=0 TSval=611763359 TSecr=611763359"
"41","0.013436000","127.0.0.1","127.0.0.1","TLSv1","546","Application Data, Application Data"
"42","0.013453000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54129 [ACK] Seq=146 Ack=1067 Win=145920 Len=0 TSval=611763360 TSecr=611763360"
"43","0.013585000","127.0.0.1","127.0.0.1","TLSv1","194","Application Data, Application Data"
"44","0.013600000","127.0.0.1","127.0.0.1","TCP","56","54129 > tungsten-https [ACK] Seq=1067 Ack=284 Win=146704 Len=0 TSval=611763360 TSecr=611763360"
"45","0.013619000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54129 [FIN, ACK] Seq=284 Ack=1067 Win=145920 Len=0 TSval=611763360 TSecr=611763360"
"46","0.013631000","127.0.0.1","127.0.0.1","TCP","56","54129 > tungsten-https [ACK] Seq=1067 Ack=285 Win=146704 Len=0 TSval=611763360 TSecr=611763360"
"47","0.013639000","127.0.0.1","127.0.0.1","TCP","56","[TCP Dup ACK 45#1] tungsten-https > 54129 [ACK] Seq=285 Ack=1067 Win=145920 Len=0 TSval=611763360 TSecr=611763360"
"48","0.014727000","127.0.0.1","127.0.0.1","TCP","56","54129 > tungsten-https [FIN, ACK] Seq=1067 Ack=285 Win=146704 Len=0 TSval=611763361 TSecr=611763360"
"49","0.014753000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54129 [ACK] Seq=285 Ack=1068 Win=145920 Len=0 TSval=611763361 TSecr=611763361"
"50","0.041027000","127.0.0.1","127.0.0.1","TCP","68","54130 > tungsten-https [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763387 TSecr=0 SACK_PERM=1"
"51","0.041095000","127.0.0.1","127.0.0.1","TCP","68","tungsten-https > 54130 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763387 TSecr=611763387 SACK_PERM=1"
"52","0.041106000","127.0.0.1","127.0.0.1","TCP","56","54130 > tungsten-https [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763387 TSecr=611763387"
"53","0.041116000","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] tungsten-https > 54130 [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763387 TSecr=611763387"
"54","0.041360000","127.0.0.1","127.0.0.1","TLSv1","573","Client Hello"
"55","0.041378000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54130 [ACK] Seq=1 Ack=518 Win=146464 Len=0 TSval=611763387 TSecr=611763387"
"56","0.041707000","127.0.0.1","127.0.0.1","TLSv1","201","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"57","0.041739000","127.0.0.1","127.0.0.1","TCP","56","54130 > tungsten-https [ACK] Seq=518 Ack=146 Win=146832 Len=0 TSval=611763387 TSecr=611763387"
"58","0.042186000","127.0.0.1","127.0.0.1","TLSv1","115","Change Cipher Spec, Encrypted Handshake Message"
"59","0.042206000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54130 [ACK] Seq=146 Ack=577 Win=146400 Len=0 TSval=611763388 TSecr=611763388"
"60","0.042268000","127.0.0.1","127.0.0.1","TCP","56","54130 > tungsten-https [FIN, ACK] Seq=577 Ack=146 Win=146832 Len=0 TSval=611763388 TSecr=611763388"
"61","0.042285000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54130 [ACK] Seq=146 Ack=578 Win=146400 Len=0 TSval=611763388 TSecr=611763388"
"62","0.042293000","127.0.0.1","127.0.0.1","TCP","56","[TCP Dup ACK 60#1] 54130 > tungsten-https [ACK] Seq=578 Ack=146 Win=146832 Len=0 TSval=611763388 TSecr=611763388"
"63","0.042381000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54130 [FIN, ACK] Seq=146 Ack=578 Win=146400 Len=0 TSval=611763388 TSecr=611763388"
"64","0.042401000","127.0.0.1","127.0.0.1","TCP","56","54130 > tungsten-https [ACK] Seq=578 Ack=147 Win=146832 Len=0 TSval=611763388 TSecr=611763388"
"65","0.051121000","127.0.0.1","127.0.0.1","TCP","68","54131 > tungsten-https [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763396 TSecr=0 SACK_PERM=1"
"66","0.051190000","127.0.0.1","127.0.0.1","TCP","68","tungsten-https > 54131 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763396 TSecr=611763396 SACK_PERM=1"
"67","0.051201000","127.0.0.1","127.0.0.1","TCP","56","54131 > tungsten-https [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763396 TSecr=611763396"
"68","0.051210000","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] tungsten-https > 54131 [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763396 TSecr=611763396"
"69","0.051360000","127.0.0.1","127.0.0.1","TLSv1","573","Client Hello"
"70","0.051384000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54131 [ACK] Seq=1 Ack=518 Win=146464 Len=0 TSval=611763396 TSecr=611763396"
"71","0.051649000","127.0.0.1","127.0.0.1","TLSv1","201","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"72","0.051664000","127.0.0.1","127.0.0.1","TCP","56","54131 > tungsten-https [ACK] Seq=518 Ack=146 Win=146832 Len=0 TSval=611763396 TSecr=611763396"
"73","0.052085000","127.0.0.1","127.0.0.1","TLSv1","115","Change Cipher Spec, Encrypted Handshake Message"
"74","0.052100000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54131 [ACK] Seq=146 Ack=577 Win=146400 Len=0 TSval=611763397 TSecr=611763396"
"75","0.052210000","127.0.0.1","127.0.0.1","TLSv1","450","Application Data, Application Data"
"76","0.052222000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54131 [ACK] Seq=146 Ack=971 Win=146016 Len=0 TSval=611763397 TSecr=611763397"
"77","0.052290000","127.0.0.1","127.0.0.1","TLSv1","210","Application Data, Application Data"
"78","0.052308000","127.0.0.1","127.0.0.1","TCP","56","54131 > tungsten-https [ACK] Seq=971 Ack=300 Win=146688 Len=0 TSval=611763397 TSecr=611763397"
"79","0.052334000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54131 [FIN, ACK] Seq=300 Ack=971 Win=146016 Len=0 TSval=611763397 TSecr=611763397"
"80","0.052348000","127.0.0.1","127.0.0.1","TCP","56","54131 > tungsten-https [ACK] Seq=971 Ack=301 Win=146688 Len=0 TSval=611763397 TSecr=611763397"
"81","0.052356000","127.0.0.1","127.0.0.1","TCP","56","[TCP Dup ACK 79#1] tungsten-https > 54131 [ACK] Seq=301 Ack=971 Win=146016 Len=0 TSval=611763397 TSecr=611763397"
"82","0.052906000","127.0.0.1","127.0.0.1","TCP","56","54131 > tungsten-https [FIN, ACK] Seq=971 Ack=301 Win=146688 Len=0 TSval=611763397 TSecr=611763397"
"83","0.052926000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54131 [ACK] Seq=301 Ack=972 Win=146016 Len=0 TSval=611763397 TSecr=611763397"
